"filename", "language", "Python", "pip requirements", "Markdown", "Batch", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\PySimpleGUI.py", "Python", 12790, 0, 0, 0, 10629, 2650, 26069
"d:\Github\Visual-Sports-Studio\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1
"d:\Github\Visual-Sports-Studio\changelog.md", "Markdown", 0, 0, 8, 0, 0, 2, 10
"d:\Github\Visual-Sports-Studio\main.py", "Python", 129, 0, 0, 0, 32, 26, 187
"d:\Github\Visual-Sports-Studio\make_windows.bat", "Batch", 0, 0, 0, 3, 0, 0, 3
"d:\Github\Visual-Sports-Studio\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 2
"d:\Github\Visual-Sports-Studio\test.py", "Python", 35, 0, 0, 0, 2, 9, 46
"d:\Github\Visual-Sports-Studio\vss_about.py", "Python", 81, 0, 0, 0, 10, 10, 101
"d:\Github\Visual-Sports-Studio\vss_db\__init__.py", "Python", 2, 0, 0, 0, 0, 2, 4
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_baseball.py", "Python", 253, 0, 0, 0, 176, 115, 544
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_nfl.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_tables.py", "Python", 9, 0, 0, 0, 410, 9, 428
"d:\Github\Visual-Sports-Studio\vss_defaults.py", "Python", 152, 0, 0, 0, 114, 11, 277
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 449, 0, 0, 0, 48, 86, 583
"d:\Github\Visual-Sports-Studio\vss_sports\vss_basketball.py", "Python", 15, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_sports\vss_football.py", "Python", 15, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_sports\vss_soccer.py", "Python", 15, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_utils\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 4
"d:\Github\Visual-Sports-Studio\vss_utils\vss_baseball_utils.py", "Python", 852, 0, 0, 0, 31, 35, 918
"d:\Github\Visual-Sports-Studio\vss_utils\vss_graphing.py", "Python", 6, 0, 0, 0, 0, 4, 10
"d:\Github\Visual-Sports-Studio\vss_utils\vss_settings_window.py", "Python", 326, 0, 0, 0, 41, 38, 405
"d:\Github\Visual-Sports-Studio\vss_utils\vss_urls.py", "Python", 18, 0, 0, 0, 20, 12, 50
"d:\Github\Visual-Sports-Studio\vss_utils\vss_utilities.py", "Python", 432, 0, 0, 0, 52, 47, 531
"Total", "-", 15583, 2, 9, 3, 11565, 3069, 30231