"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\PySimpleGUI.py", "Python", -12790, 0, -10629, -2650, -26069
"d:\Github\Visual-Sports-Studio\main.py", "Python", 0, 0, 3, 1, 4
"d:\Github\Visual-Sports-Studio\requirements.txt", "pip requirements", 0, 2, 0, 0, 2
"d:\Github\Visual-Sports-Studio\test.py", "Python", -35, 0, -2, -9, -46
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_baseball.py", "Python", 0, 0, 18, 2, 20
"d:\Github\Visual-Sports-Studio\vss_defaults.py", "Python", 1, 0, 10, 1, 12
"d:\Github\Visual-Sports-Studio\vss_loading_test.py", "Python", 34, 0, 3, 9, 46
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 12, 0, 17, 2, 31
"d:\Github\Visual-Sports-Studio\vss_utils\vss_settings_window.py", "Python", 49, 0, 11, 11, 71
"d:\Github\Visual-Sports-Studio\vss_utils\vss_utilities.py", "Python", 284, 0, 44, 1, 329
"Total", "-", -12445, 2, -10525, -2632, -25600